# Model name: Exo_k
# Diameter: 12756.2				# Diameter of the planet [km]
# Gravity: 9.81				# Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1				# Planet-star distance [ua]
# Star-type: Sun				# Host-star type
# Star-temperature: 5770				# Host-star temperature [K]
# Wavelength-min: N/A				# Minimum wavelength [um]
# Wavelength-max: N/A				# Maximum wavelength [um]
# Radiance-unit: W/m^2				# Radiation output unit
# Surface-temperature: 288.0				# Surface temperature [K]
# Surface-albedo: 0.32				# Surface albedo
# Surface-emissivity: 0.9				# Surface emissivity
# Opacity: corrk + continuum				# corrk + continuum
# Line opacities: H2O, CO2
# CIA opacities: H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities: N2, CO2, H2O
# Outgoing thermal radiation - OTR (W/m^2): 231.35024178412954
# Absorbed stellar radiation - ASR (W/m^2): 253.99610257058663
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt vmrN2 vmrCO2 vmrH2O OTR ASR
# units: Pa K g/mol km N/A N/A N/A W/m^2 W/m^2
# Atmosphere-fit-T: N/A
# Atmosphere-fit-N2 N/A
# Atmosphere-fit-CO2: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-layers: 201
#   P (Pa)     T (K)   MMW (g/mol)    Alt (km)       N2           CO2            H2O           OTR           ASR
1.01729e+05   288.000     27.86      0.000e+00   9.83002e-01   3.93201e-04   1.66045e-02   5.59813e+01   1.68455e+02
9.82738e+04   286.630     27.87      3.013e-01   9.83876e-01   3.93550e-04   1.57309e-02   6.32300e+01   1.71527e+02
9.49358e+04   285.250     27.88      6.012e-01   9.84731e-01   3.93892e-04   1.48753e-02   6.98400e+01   1.74493e+02
9.17111e+04   283.860     27.88      8.995e-01   9.85567e-01   3.94227e-04   1.40385e-02   7.59613e+01   1.77379e+02
8.85960e+04   282.450     27.89      1.196e+00   9.86384e-01   3.94554e-04   1.32212e-02   8.16311e+01   1.80201e+02
8.55867e+04   281.020     27.90      1.491e+00   9.87181e-01   3.94872e-04   1.24240e-02   8.68672e+01   1.82972e+02
8.26796e+04   279.570     27.91      1.785e+00   9.87957e-01   3.95183e-04   1.16477e-02   9.16823e+01   1.85702e+02
7.98713e+04   278.110     27.91      2.077e+00   9.88711e-01   3.95485e-04   1.08931e-02   9.61116e+01   1.88397e+02
7.71584e+04   276.620     27.92      2.368e+00   9.89443e-01   3.95777e-04   1.01609e-02   1.00161e+02   1.91061e+02
7.45376e+04   275.120     27.93      2.656e+00   9.90152e-01   3.96061e-04   9.45192e-03   1.03892e+02   1.93699e+02
7.20058e+04   273.590     27.94      2.943e+00   9.90837e-01   3.96335e-04   8.76691e-03   1.07344e+02   1.96311e+02
6.95600e+04   272.040     27.94      3.229e+00   9.91497e-01   3.96599e-04   8.10666e-03   1.10581e+02   1.98899e+02
6.71973e+04   270.470     27.95      3.513e+00   9.92131e-01   3.96853e-04   7.47188e-03   1.13668e+02   2.01460e+02
6.49148e+04   268.870     27.95      3.795e+00   9.92740e-01   3.97096e-04   6.86305e-03   1.16661e+02   2.03992e+02
6.27099e+04   267.250     27.96      4.075e+00   9.93322e-01   3.97329e-04   6.28094e-03   1.19632e+02   2.06492e+02
6.05799e+04   265.590     27.96      4.354e+00   9.93876e-01   3.97550e-04   5.72626e-03   1.22614e+02   2.08957e+02
5.85222e+04   263.910     27.97      4.630e+00   9.94403e-01   3.97761e-04   5.19967e-03   1.25668e+02   2.11383e+02
5.65344e+04   262.200     27.97      4.905e+00   9.94900e-01   3.97960e-04   4.70173e-03   1.28827e+02   2.13765e+02
5.46141e+04   260.470     27.98      5.179e+00   9.95369e-01   3.98148e-04   4.23288e-03   1.32132e+02   2.16101e+02
5.27591e+04   258.700     27.98      5.450e+00   9.95808e-01   3.98323e-04   3.79344e-03   1.35587e+02   2.18386e+02
5.09670e+04   256.900     27.99      5.719e+00   9.96218e-01   3.98487e-04   3.38358e-03   1.39196e+02   2.20617e+02
4.92359e+04   255.070     27.99      5.987e+00   9.96598e-01   3.98639e-04   3.00328e-03   1.42950e+02   2.22789e+02
4.75635e+04   253.220     27.99      6.252e+00   9.96949e-01   3.98780e-04   2.65234e-03   1.46842e+02   2.24899e+02
4.59479e+04   251.330     28.00      6.516e+00   9.97271e-01   3.98908e-04   2.33035e-03   1.50824e+02   2.26944e+02
4.43872e+04   249.420     28.00      6.777e+00   9.97564e-01   3.99026e-04   2.03669e-03   1.54859e+02   2.28917e+02
4.28795e+04   247.490     28.00      7.037e+00   9.97830e-01   3.99132e-04   1.77053e-03   1.58886e+02   2.30814e+02
4.14231e+04   245.530     28.01      7.294e+00   9.98070e-01   3.99228e-04   1.53082e-03   1.62841e+02   2.32628e+02
4.00161e+04   243.550     28.01      7.549e+00   9.98284e-01   3.99314e-04   1.31633e-03   1.66681e+02   2.34354e+02
3.86569e+04   241.520     28.01      7.802e+00   9.98475e-01   3.99390e-04   1.12566e-03   1.70344e+02   2.35987e+02
3.73438e+04   239.520     28.01      8.053e+00   9.98643e-01   3.99457e-04   9.57680e-04   1.73870e+02   2.37524e+02
3.60754e+04   237.480     28.01      8.302e+00   9.98790e-01   3.99516e-04   8.10235e-04   1.77250e+02   2.38962e+02
3.48500e+04   235.430     28.01      8.549e+00   9.98919e-01   3.99567e-04   6.81798e-04   1.80502e+02   2.40297e+02
3.36663e+04   233.360     28.01      8.794e+00   9.99030e-01   3.99612e-04   5.70751e-04   1.83630e+02   2.41528e+02
3.25228e+04   231.270     28.02      9.036e+00   9.99125e-01   3.99650e-04   4.75432e-04   1.86631e+02   2.42653e+02
3.14181e+04   229.180     28.02      9.277e+00   9.99206e-01   3.99682e-04   3.94180e-04   1.89506e+02   2.43673e+02
3.03509e+04   227.080     28.02      9.515e+00   9.99275e-01   3.99710e-04   3.25374e-04   1.92236e+02   2.44591e+02
2.93200e+04   224.990     28.02      9.751e+00   9.99333e-01   3.99733e-04   2.67464e-04   1.94807e+02   2.45408e+02
2.83241e+04   222.900     28.02      9.984e+00   9.99381e-01   3.99752e-04   2.19004e-04   1.97197e+02   2.46128e+02
2.73621e+04   220.820     28.02      1.022e+01   9.99422e-01   3.99769e-04   1.78664e-04   1.99386e+02   2.46757e+02
2.64327e+04   218.750     28.02      1.045e+01   9.99455e-01   3.99782e-04   1.45244e-04   2.01358e+02   2.47300e+02
2.55348e+04   216.700     28.02      1.067e+01   9.99483e-01   3.99793e-04   1.17679e-04   2.03106e+02   2.47764e+02
2.46675e+04   214.670     28.02      1.090e+01   9.99505e-01   3.99802e-04   9.50318e-05   2.04626e+02   2.48156e+02
2.38296e+04   212.670     28.02      1.112e+01   9.99524e-01   3.99809e-04   7.64924e-05   2.05920e+02   2.48486e+02
2.30202e+04   210.680     28.02      1.134e+01   9.99539e-01   3.99816e-04   6.13650e-05   2.06984e+02   2.48761e+02
2.22383e+04   208.720     28.02      1.156e+01   9.99551e-01   3.99820e-04   4.90588e-05   2.07825e+02   2.48988e+02
2.14830e+04   206.780     28.02      1.178e+01   9.99561e-01   3.99824e-04   3.90758e-05   2.08451e+02   2.49175e+02
2.07533e+04   204.860     28.02      1.199e+01   9.99569e-01   3.99828e-04   3.09990e-05   2.08871e+02   2.49328e+02
2.00483e+04   202.970     28.02      1.221e+01   9.99576e-01   3.99830e-04   2.44816e-05   2.09090e+02   2.49453e+02
1.93674e+04   201.100     28.02      1.242e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.09108e+02   2.49559e+02
1.87095e+04   200.000     28.02      1.263e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.09070e+02   2.49658e+02
1.80740e+04   200.000     28.02      1.284e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.09146e+02   2.49756e+02
1.74601e+04   200.000     28.02      1.305e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.09290e+02   2.49851e+02
1.68671e+04   200.000     28.02      1.326e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.09475e+02   2.49945e+02
1.62941e+04   200.000     28.02      1.347e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.09690e+02   2.50038e+02
1.57407e+04   200.000     28.02      1.368e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.09927e+02   2.50128e+02
1.52060e+04   200.000     28.02      1.389e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.10180e+02   2.50218e+02
1.46895e+04   200.000     28.02      1.410e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.10448e+02   2.50305e+02
1.41906e+04   200.000     28.02      1.431e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.10727e+02   2.50392e+02
1.37086e+04   200.000     28.02      1.452e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.11016e+02   2.50477e+02
1.32429e+04   200.000     28.02      1.473e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.11312e+02   2.50561e+02
1.27931e+04   200.000     28.02      1.494e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.11616e+02   2.50644e+02
1.23586e+04   200.000     28.02      1.515e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.11925e+02   2.50725e+02
1.19388e+04   200.000     28.02      1.536e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.12240e+02   2.50806e+02
1.15333e+04   200.000     28.02      1.557e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.12558e+02   2.50885e+02
1.11416e+04   200.000     28.02      1.578e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.12881e+02   2.50964e+02
1.07631e+04   200.000     28.02      1.599e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.13207e+02   2.51041e+02
1.03975e+04   200.000     28.02      1.620e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.13536e+02   2.51118e+02
1.00444e+04   200.000     28.02      1.641e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.13868e+02   2.51193e+02
9.70318e+03   200.000     28.02      1.662e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.14201e+02   2.51267e+02
9.37360e+03   200.000     28.02      1.683e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.14533e+02   2.51339e+02
9.05521e+03   200.000     28.02      1.704e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.14864e+02   2.51410e+02
8.74764e+03   200.000     28.02      1.725e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.15194e+02   2.51478e+02
8.45051e+03   200.000     28.02      1.746e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.15523e+02   2.51545e+02
8.16347e+03   200.000     28.02      1.767e+01   9.99581e-01   3.99832e-04   1.92366e-05   2.15850e+02   2.51610e+02
