# Model name = photochem.clima
# Diameter: 12742                # Diameter of the planet [km]
# Gravity: 9.81                 # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1.000               # Planet-star distance [au]
# Star-type: Sun                 # Host-star type
# Star-temperature: 5772         # Host-star temperature [K]
# Wavelength-min: N/A            # Minimum wavelength [um]
# Wavelength-max: N/A            # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 286       # Surface temperature [K]
# Surface-albedo: 0.32           # Surface albedo
# Surface-emissivity: 0.90        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2
# CIA opacities = H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 238.42
# Absorbed stellar radiation (W/m^2) = 238.42
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-fit-T: N/A
# Atmosphere-fit-H2: N/A
# Atmosphere-fit-He: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-fit-CH4: N/A
# Atmosphere-layers: 100
# P (Pa)        T (K)         MMW (g/mol)   Alt (km)      N2            CO2           H2O           OTR           ASR       
1.058e+03     151.1599      28.0064       26.6990       9.9960e-01    3.9984e-04    7.9227e-09    2.3812e+02    2.3812e+02    
9.430e+02     150.9172      28.0064       27.2288       9.9960e-01    3.9984e-04    7.9227e-09    2.3814e+02    2.3814e+02    
8.405e+02     150.8398      28.0064       27.7582       9.9960e-01    3.9984e-04    7.9227e-09    2.3817e+02    2.3817e+02    
7.491e+02     150.8755      28.0064       28.2875       9.9960e-01    3.9984e-04    7.9227e-09    2.3819e+02    2.3819e+02    
6.676e+02     150.9792      28.0064       28.8172       9.9960e-01    3.9984e-04    7.9227e-09    2.3821e+02    2.3821e+02    
5.950e+02     151.1072      28.0064       29.3474       9.9960e-01    3.9984e-04    7.9227e-09    2.3823e+02    2.3823e+02    
5.303e+02     151.2258      28.0064       29.8781       9.9960e-01    3.9984e-04    7.9227e-09    2.3824e+02    2.3825e+02    
4.727e+02     151.3131      28.0064       30.4093       9.9960e-01    3.9984e-04    7.9227e-09    2.3826e+02    2.3826e+02    
4.213e+02     151.3584      28.0064       30.9408       9.9960e-01    3.9984e-04    7.9227e-09    2.3827e+02    2.3828e+02    
3.755e+02     151.3607      28.0064       31.4724       9.9960e-01    3.9984e-04    7.9227e-09    2.3829e+02    2.3829e+02    
3.346e+02     151.3270      28.0064       32.0041       9.9960e-01    3.9984e-04    7.9227e-09    2.3830e+02    2.3830e+02    
2.983e+02     151.2838      28.0064       32.5357       9.9960e-01    3.9984e-04    7.9227e-09    2.3831e+02    2.3831e+02    
2.658e+02     151.2328      28.0064       33.0673       9.9960e-01    3.9984e-04    7.9227e-09    2.3832e+02    2.3832e+02    
2.369e+02     151.1600      28.0064       33.5987       9.9960e-01    3.9984e-04    7.9227e-09    2.3833e+02    2.3833e+02    
2.112e+02     151.0702      28.0064       34.1300       9.9960e-01    3.9984e-04    7.9227e-09    2.3833e+02    2.3834e+02    
1.882e+02     150.9655      28.0064       34.6609       9.9960e-01    3.9984e-04    7.9227e-09    2.3834e+02    2.3834e+02    
1.677e+02     150.8535      28.0064       35.1916       9.9960e-01    3.9984e-04    7.9227e-09    2.3835e+02    2.3835e+02    
1.495e+02     150.7457      28.0064       35.7220       9.9960e-01    3.9984e-04    7.9227e-09    2.3835e+02    2.3835e+02    
1.332e+02     150.6578      28.0064       36.2522       9.9960e-01    3.9984e-04    7.9227e-09    2.3836e+02    2.3836e+02    
1.188e+02     150.6080      28.0064       36.7821       9.9960e-01    3.9984e-04    7.9227e-09    2.3836e+02    2.3836e+02    
1.058e+02     150.6158      28.0064       37.3121       9.9960e-01    3.9984e-04    7.9227e-09    2.3836e+02    2.3837e+02    
9.434e+01     150.7085      28.0064       37.8424       9.9960e-01    3.9984e-04    7.9227e-09    2.3837e+02    2.3837e+02    
8.408e+01     150.8996      28.0064       38.3732       9.9960e-01    3.9984e-04    7.9227e-09    2.3837e+02    2.3837e+02    
7.494e+01     151.1956      28.0064       38.9050       9.9960e-01    3.9984e-04    7.9227e-09    2.3837e+02    2.3837e+02    
6.679e+01     151.6144      28.0064       39.4381       9.9960e-01    3.9984e-04    7.9227e-09    2.3838e+02    2.3838e+02    
5.953e+01     152.1809      28.0064       39.9731       9.9960e-01    3.9984e-04    7.9227e-09    2.3838e+02    2.3838e+02    
5.305e+01     152.9270      28.0064       40.5104       9.9960e-01    3.9984e-04    7.9227e-09    2.3838e+02    2.3838e+02    
4.729e+01     153.8870      28.0064       41.0509       9.9960e-01    3.9984e-04    7.9227e-09    2.3838e+02    2.3838e+02    
4.214e+01     155.0858      28.0064       41.5952       9.9960e-01    3.9984e-04    7.9227e-09    2.3838e+02    2.3839e+02    
3.756e+01     156.5270      28.0064       42.1443       9.9960e-01    3.9984e-04    7.9227e-09    2.3838e+02    2.3839e+02    
3.348e+01     158.1836      28.0064       42.6990       9.9960e-01    3.9984e-04    7.9227e-09    2.3839e+02    2.3839e+02    
2.984e+01     159.9979      28.0064       43.2599       9.9960e-01    3.9984e-04    7.9227e-09    2.3839e+02    2.3839e+02    
2.659e+01     161.8915      28.0064       43.8274       9.9960e-01    3.9984e-04    7.9227e-09    2.3839e+02    2.3839e+02    
2.370e+01     163.7784      28.0064       44.4016       9.9960e-01    3.9984e-04    7.9227e-09    2.3839e+02    2.3839e+02    
2.112e+01     165.5735      28.0064       44.9825       9.9960e-01    3.9984e-04    7.9227e-09    2.3839e+02    2.3839e+02    
1.883e+01     167.2015      28.0064       45.5695       9.9960e-01    3.9984e-04    7.9227e-09    2.3839e+02    2.3840e+02    
1.678e+01     168.6017      28.0064       46.1620       9.9960e-01    3.9984e-04    7.9227e-09    2.3839e+02    2.3840e+02    
1.496e+01     169.7303      28.0064       46.7590       9.9960e-01    3.9984e-04    7.9227e-09    2.3840e+02    2.3840e+02    
1.333e+01     170.5599      28.0064       47.3596       9.9960e-01    3.9984e-04    7.9227e-09    2.3840e+02    2.3840e+02    
1.188e+01     171.0782      28.0064       47.9627       9.9960e-01    3.9984e-04    7.9227e-09    2.3840e+02    2.3840e+02    
1.059e+01     171.2860      28.0064       48.5672       9.9960e-01    3.9984e-04    7.9227e-09    2.3840e+02    2.3840e+02    
9.437e+00     171.1940      28.0064       49.1720       9.9960e-01    3.9984e-04    7.9227e-09    2.3840e+02    2.3840e+02    
8.411e+00     170.8225      28.0064       49.7761       9.9960e-01    3.9984e-04    7.9227e-09    2.3840e+02    2.3840e+02    
7.496e+00     170.1979      28.0064       50.3785       9.9960e-01    3.9984e-04    7.9227e-09    2.3840e+02    2.3841e+02    
6.681e+00     169.3486      28.0064       50.9785       9.9960e-01    3.9984e-04    7.9227e-09    2.3840e+02    2.3841e+02    
5.955e+00     168.3044      28.0064       51.5753       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3841e+02    
5.307e+00     167.0952      28.0064       52.1681       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3841e+02    
4.730e+00     165.7496      28.0064       52.7566       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3841e+02    
4.216e+00     164.2941      28.0064       53.3402       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3841e+02    
3.758e+00     162.7522      28.0064       53.9186       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3841e+02    
3.349e+00     161.1437      28.0064       54.4915       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3841e+02    
2.985e+00     159.4848      28.0064       55.0588       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3841e+02    
2.660e+00     157.7878      28.0064       55.6202       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3841e+02    
2.371e+00     156.0614      28.0064       56.1756       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3841e+02    
2.113e+00     154.3130      28.0064       56.7250       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3842e+02    
1.883e+00     152.5532      28.0064       57.2683       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3842e+02    
1.679e+00     150.8071      28.0064       57.8055       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3842e+02    
1.496e+00     149.1431      28.0064       58.3367       9.9960e-01    3.9984e-04    7.9227e-09    2.3841e+02    2.3842e+02    
1.333e+00     147.7363      28.0064       58.8626       9.9960e-01    3.9984e-04    7.9227e-09    2.3842e+02    2.3842e+02    
1.188e+00     147.0209      28.0064       59.3848       9.9960e-01    3.9984e-04    7.9227e-09    2.3842e+02    2.3842e+02    
1.059e+00     148.0848      28.0064       59.9077       9.9960e-01    3.9984e-04    7.9227e-09    2.3842e+02    2.3842e+02    
