#  Model name = TRAPPIST-1g(10 bar CO2), G-PCM
#  Diameter: 14451.2              # Diameter of the planet [km]
#  Gravity: 10.15                 # Gravity at the surface of the atmosphere [m/s2]
#  Star-distance: 0.04683         # Planet-star distance [au]
#  Star-type: Sun                 # Host-star type
#  Star-temperature: 2550         # Host-star temperature [K]
#  Insolation: 344.2              # Insolation [W.m-2]
#  Wavelength-min: 0.2857         # Minimum wavelength [um]
#  Wavelength-max: 1000.0         # Maximum wavelength [um]
#  Surface-temperature: 222       # Surface temperature [K]
#  Surface-albedo: 0.20           # Surface albedo
#  Surface-emissivity: 0.9        # Surface emissivity
#  Opacity:corr.-k, earth         # corrk + continuum
#  Line opacities = H2O, CO2
#  CIA opacities = H2O-H2O, H2O-N2, CO2-CO2, N2-N2, N2-CO2
#  Rayleigh opacities = N2, CO2, H2O
#  Outgoing longwave radiation (W/m^2) = 75.6
#  Absorbed stellar radiation (W/m^2) = 75.6
#  Atmosphere-description: TRAPPIST-1g 10 bar CO2
#  Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
#  Atmosphere-layers: 29
#    P (Pa)   T (K)   MMW (g/mol)  Alt (km)    N2          CO2          H2O          OLR           ASR
 1.09660e+06  222.091  28.00637     0.005  9.99597e-01  3.99839e-04  2.96456e-06  2.21992e+01  3.05038e+01
 1.09462e+06  222.000  28.00637     0.020  9.99597e-01  3.99839e-04  2.93575e-06  2.23637e+01  3.05230e+01
 1.09059e+06  221.814  28.00637     0.049  9.99597e-01  3.99839e-04  2.87801e-06  2.26015e+01  3.05543e+01
 1.08146e+06  221.389  28.00637     0.117  9.99597e-01  3.99839e-04  2.75007e-06  2.30871e+01  3.06250e+01
 1.06318e+06  220.532  28.00637     0.253  9.99598e-01  3.99839e-04  2.50715e-06  2.40632e+01  3.07843e+01
 1.02955e+06  218.916  28.00638     0.510  9.99598e-01  3.99839e-04  2.10149e-06  2.56694e+01  3.10787e+01
 9.69680e+05  215.970  28.00638     0.990  9.99599e-01  3.99839e-04  1.51248e-06  2.81277e+01  3.15977e+01
 8.70680e+05  210.817  28.00639     1.851  9.99599e-01  3.99840e-04  7.89409e-07  3.13907e+01  3.24733e+01
 7.26303e+05  203.345  28.00639     3.302  9.99600e-01  3.99840e-04  2.84339e-07  3.45079e+01  3.38569e+01
 5.47344e+05  197.647  28.00640     5.565  9.99600e-01  3.99840e-04  1.52616e-07  3.68347e+01  3.60340e+01
 3.72027e+05  191.457  28.00640     8.654  9.99600e-01  3.99840e-04  8.01250e-08  3.98500e+01  3.92345e+01
 2.40458e+05  185.930  28.00640    12.145  9.99600e-01  3.99840e-04  4.65058e-08  4.35104e+01  4.31180e+01
 1.55419e+05  181.429  28.00640    15.636  9.99600e-01  3.99840e-04  3.09250e-08  4.71201e+01  4.68887e+01
 1.00454e+05  178.174  28.00640    19.128  9.99600e-01  3.99840e-04  2.52541e-08  5.05850e+01  5.04648e+01
 6.49279e+04  176.730  28.00640    22.619  9.99600e-01  3.99840e-04  2.69012e-08  5.38443e+01  5.37986e+01
 4.19658e+04  177.270  28.00640    26.110  9.99600e-01  3.99840e-04  2.92806e-08  5.68769e+01  5.68877e+01
 2.71244e+04  179.290  28.00640    29.602  9.99600e-01  3.99840e-04  3.26311e-08  5.96647e+01  5.97217e+01
 1.75317e+04  182.005  28.00640    33.093  9.99600e-01  3.99840e-04  3.72341e-08  6.21633e+01  6.22558e+01
 1.13315e+04  184.029  28.00640    36.585  9.99600e-01  3.99840e-04  4.33506e-08  6.43547e+01  6.44737e+01
 7.18464e+03  184.616  28.00640    40.230  9.99600e-01  3.99840e-04  5.14053e-08  6.62475e+01  6.63834e+01
 4.25497e+03  182.554  28.00640    44.421  9.99600e-01  3.99840e-04  6.28256e-08  6.80337e+01  6.81812e+01
 2.33209e+03  177.439  28.00640    49.231  9.99600e-01  3.99840e-04  7.89787e-08  6.97926e+01  6.99473e+01
 1.24828e+03  172.073  28.00640    54.231  9.99600e-01  3.99840e-04  9.80530e-08  7.12854e+01  7.14431e+01
 6.68155e+02  167.629  28.00640    59.231  9.99600e-01  3.99840e-04  1.18147e-07  7.23753e+01  7.25344e+01
 3.57638e+02  164.981  28.00640    64.231  9.99600e-01  3.99840e-04  1.38023e-07  7.31568e+01  7.33159e+01
 1.80616e+02  161.581  28.00640    69.696  9.99600e-01  3.99840e-04  1.56752e-07  7.38045e+01  7.39608e+01
 7.19504e+01  155.894  28.00640    77.059  9.99600e-01  3.99840e-04  1.28568e-07  7.44642e+01  7.46179e+01
 2.06141e+01  157.479  28.00640    87.059  9.99600e-01  3.99840e-04  2.06912e-07  7.49485e+01  7.51766e+01
 5.90605e+00  126.134  28.00640    97.059  9.99600e-01  3.99840e-04  1.63076e-10  7.52402e+01  7.54730e+01
