# Model name: Exo_k
# Diameter: 14401.75					# Diameter of the planet [km]
# Gravity: 10.15						# Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 0.0468				# Planet-star distance [ua]
# Star-type: TRAPPIST-1					# Host-star type
# Star-temperature: None			# Host-star temperature [K]
# Wavelength-min: N/A				# Minimum wavelength [um]
# Wavelength-max: N/A				# Maximum wavelength [um]
# Radiance-unit: W/m^2				# Radiation output unit
# Surface-temperature: 273.93		# Surface temperature [K]
# Surface-albedo: 0.20				# Surface albedo
# Surface-emissivity: 1				# Surface emissivity
# Opacity: corrk + continuum		# corrk + continuum
# Line opacities: H2O, CO2
# CIA opacities: H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities: N2, CO2, H2O
# Outgoing thermal radiation - OTR (W/m^2): 80.41
# Absorbed stellar radiation - ASR (W/m^2): 80.44
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt vmrN2 vmrCO2 vmrH2O OTR ASR
# units: Pa K g/mol km N/A N/A N/A W/m^2 W/m^2
# Atmosphere-fit-T: N/A
# Atmosphere-fit-N2 N/A
# Atmosphere-fit-CO2: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-layers: 100
#   P (Pa)     T (K)   MMW (g/mol)    Alt (km)       N2           CO2            H2O           OTR           ASR
1.10000e+06   273.927     43.90      1.454e+00   1.00000e+05   1.00000e+06   2.41331e-04   5.61782e+00   1.85202e+01
9.78294e+05   267.406     43.91      5.832e+00   8.89358e+04   8.89358e+05   1.81490e-04   7.57452e+00   2.09541e+01
8.70054e+05   260.929     43.91      1.161e+01   7.90958e+04   7.90958e+05   1.34172e-04   9.02353e+00   2.34336e+01
7.73790e+05   254.615     43.91      1.725e+01   7.03446e+04   7.03446e+05   9.82084e-05   1.02411e+01   2.59321e+01
6.88177e+05   248.437     43.91      2.275e+01   6.25615e+04   6.25615e+05   7.10382e-05   1.13669e+01   2.83879e+01
6.12036e+05   242.416     43.91      2.812e+01   5.56396e+04   5.56396e+05   5.08515e-05   1.25330e+01   3.07266e+01
5.44319e+05   236.556     43.91      3.336e+01   4.94836e+04   4.94836e+05   3.60413e-05   1.40650e+01   3.29444e+01
4.84095e+05   230.796     43.91      3.848e+01   4.40086e+04   4.40086e+05   2.51653e-05   1.64137e+01   3.50837e+01
4.30534e+05   225.200     43.92      4.347e+01   3.91395e+04   3.91395e+05   1.73997e-05   1.96936e+01   3.71336e+01
3.82899e+05   219.724     43.92      4.834e+01   3.48090e+04   3.48090e+05   1.18692e-05   2.32483e+01   3.90275e+01
3.40534e+05   214.390     43.92      5.309e+01   3.09577e+04   3.09577e+05   8.00254e-06   2.62237e+01   4.07153e+01
3.02857e+05   209.133     43.91      5.773e+01   2.75325e+04   2.75325e+05   5.32603e-06   2.74893e+01   4.22032e+01
2.69349e+05   206.035     43.91      6.228e+01   2.44862e+04   2.44862e+05   4.30701e-06   2.86168e+01   4.35673e+01
2.39547e+05   204.439     43.92      6.677e+01   2.17770e+04   2.17770e+05   4.08067e-06   3.04930e+01   4.48794e+01
2.13044e+05   202.867     43.92      7.123e+01   1.93676e+04   1.93676e+05   3.86627e-06   3.27010e+01   4.61656e+01
1.89472e+05   201.319     43.92      7.566e+01   1.72247e+04   1.72247e+05   3.66302e-06   3.50706e+01   4.74312e+01
1.68509e+05   199.794     43.92      8.005e+01   1.53190e+04   1.53190e+05   3.47035e-06   3.75260e+01   4.86802e+01
1.49865e+05   198.291     43.93      8.441e+01   1.36241e+04   1.36241e+05   3.28771e-06   4.00040e+01   4.99157e+01
1.33283e+05   196.811     43.93      8.874e+01   1.21167e+04   1.21167e+05   3.11460e-06   4.24588e+01   5.11417e+01
1.18537e+05   195.352     43.93      9.304e+01   1.07761e+04   1.07761e+05   2.95051e-06   4.48691e+01   5.23627e+01
1.05422e+05   193.915     43.93      9.731e+01   9.58378e+03   9.58378e+04   2.79498e-06   4.72351e+01   5.35830e+01
9.37576e+04   192.498     43.94      1.015e+02   8.52342e+03   8.52342e+04   2.64758e-06   4.95342e+01   5.47829e+01
8.33841e+04   191.102     43.94      1.057e+02   7.58037e+03   7.58037e+04   2.50788e-06   5.17058e+01   5.59359e+01
