# Model name = EOS
# Diameter: 12742                # Diameter of the planet [km]
# Gravity: 9.81                  # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1               # Planet-star distance [au]
# Star-type: Sun                 # Host-star type
# Star-temperature: 5777         # Host-star temperature [K]
# Wavelength-min: 0.29           # Minimum wavelength [um]
# Wavelength-max: 200.0          # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 288       # Surface temperature [K]
# Surface-albedo: 0.32           # Surface albedo
# Surface-emissivity: 0.9        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2, N2
# CIA opacities = H2O-H2O, H2O-Air, CO2-CO2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 231
# Absorbed stellar radiation (W/m^2) = 240
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-layers: 51
#  i        p [Pa]      T [K]        H2O1 vmr    ASR_lay    OLR_lay      F_rad     F_conv
#---------------------------------------------------------------------------------------
   0    1.0350e+05    285.522    1.387723e-02    191.059     93.465     97.594     97.674
   1    8.1965e+04    275.390    8.757160e-03    217.790    136.250     81.540     81.632
   2    6.4911e+04    264.757    4.613228e-03    227.018    159.242     67.776     67.873
   3    5.1405e+04    253.017    1.979393e-03    235.582    187.036     48.546     48.645
   4    4.0709e+04    239.732    6.509195e-04    240.056    208.580     31.476     31.578
   5    3.2239e+04    225.579    1.641934e-04    241.619    224.880     16.739     16.841
   6    2.5531e+04    211.461    3.354816e-05    241.232    235.076      6.157      6.258
   7    2.0219e+04    197.939    5.820119e-06    240.322    239.042      1.280      1.381
   8    1.6012e+04    185.590    9.388086e-07    239.779    239.880     -0.101      0.000
   9    1.2680e+04    177.189    2.474150e-07    239.246    239.347     -0.101      0.000
  10    1.0042e+04    172.384    1.194642e-07    239.299    239.399     -0.101      0.000
  11    7.9526e+03    168.256    6.333348e-08    239.391    239.492     -0.101      0.000
  12    6.2979e+03    164.553    3.556015e-08    239.496    239.597     -0.101      0.000
  13    4.9875e+03    161.311    2.126429e-08    239.590    239.691     -0.101      0.000
  14    3.9498e+03    158.595    7.667491e-09    239.675    239.776     -0.101      0.000
  15    3.1280e+03    156.330    3.074263e-09    239.755    239.856     -0.101      0.000
  16    2.4771e+03    154.522    1.760056e-09    239.825    239.925     -0.101      0.000
  17    1.9617e+03    153.239    1.437013e-09    239.882    239.983     -0.101      0.000
  18    1.5536e+03    152.462    1.437013e-09    239.935    240.036     -0.101      0.000
  19    1.2303e+03    152.131    1.437013e-09    239.985    240.086     -0.101      0.000
  20    9.7432e+02    152.095    1.437013e-09    240.030    240.131     -0.101      0.000
  21    7.7160e+02    152.178    1.437013e-09    240.071    240.172     -0.101      0.000
  22    6.1105e+02    152.292    1.437013e-09    240.108    240.209     -0.101      0.000
  23    4.8391e+02    152.368    1.437013e-09    240.138    240.239     -0.101      0.000
  24    3.8323e+02    152.341    1.437013e-09    240.163    240.264     -0.101      0.000
  25    3.0349e+02    152.177    1.437013e-09    240.183    240.284     -0.101      0.000
  26    2.4034e+02    151.907    1.437013e-09    240.200    240.301     -0.101      0.000
  27    1.9034e+02    151.581    1.437013e-09    240.213    240.314     -0.101      0.000
  28    1.5073e+02    151.267    1.437013e-09    240.224    240.325     -0.101      0.000
  29    1.1937e+02    151.073    1.437013e-09    240.232    240.334     -0.101      0.000
  30    9.4533e+01    150.983    1.437013e-09    240.239    240.340     -0.101      0.000
  31    7.4864e+01    150.859    1.437013e-09    240.244    240.345     -0.101      0.000
  32    5.9287e+01    150.641    1.437013e-09    240.249    240.350     -0.101      0.000
  33    4.6951e+01    150.387    1.437013e-09    240.251    240.353     -0.101      0.000
  34    3.7182e+01    150.107    1.437013e-09    240.254    240.355     -0.101      0.000
  35    2.9446e+01    149.892    1.437013e-09    240.257    240.358     -0.101      0.000
  36    2.3319e+01    149.948    1.437013e-09    240.259    240.360     -0.101      0.000
  37    1.8467e+01    150.461    1.437013e-09    240.260    240.361     -0.101      0.000
  38    1.4625e+01    151.751    1.437013e-09    240.261    240.362     -0.101      0.000
  39    1.1582e+01    154.196    1.437013e-09    240.261    240.362     -0.101      0.000
  40    9.1720e+00    157.690    1.437013e-09    240.263    240.364     -0.101      0.000
  41    7.2636e+00    161.978    1.437013e-09    240.263    240.364     -0.101      0.000
  42    5.7523e+00    166.823    1.437013e-09    240.264    240.365     -0.101      0.000
  43    4.5554e+00    171.448    1.437013e-09    240.265    240.366     -0.101      0.000
  44    3.6076e+00    174.953    1.437013e-09    240.266    240.367     -0.101      0.000
  45    2.8570e+00    176.710    1.437013e-09    240.267    240.368     -0.101      0.000
  46    2.2625e+00    176.275    1.437013e-09    240.268    240.369     -0.101      0.000
  47    1.7918e+00    173.433    1.437013e-09    240.269    240.370     -0.101      0.000
  48    1.4190e+00    168.085    1.437013e-09    240.270    240.371     -0.101      0.000
  49    1.1237e+00    162.079    1.437013e-09    240.271    240.372     -0.101      0.000
  50    8.8991e-01    159.395    1.437013e-09    240.272    240.373     -0.101      0.000
