# Model name = photochem.clima
# Diameter: 12742                # Diameter of the planet [km]
# Gravity: 9.81                 # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1.000               # Planet-star distance [au]
# Star-type: Sun                 # Host-star type
# Star-temperature: 5772         # Host-star temperature [K]
# Wavelength-min: N/A            # Minimum wavelength [um]
# Wavelength-max: N/A            # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 288       # Surface temperature [K]
# Surface-albedo: 0.32           # Surface albedo
# Surface-emissivity: 0.90        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2
# CIA opacities = H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 230.08
# Absorbed stellar radiation (W/m^2) = 244.13
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-fit-T: N/A
# Atmosphere-fit-H2: N/A
# Atmosphere-fit-He: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-fit-CH4: N/A
# Atmosphere-layers: 200
# P (Pa)        T (K)         MMW (g/mol)   Alt (km)      N2            CO2           H2O           OTR           ASR       
6.622e+03     200.0000      28.0062       18.9689       9.9958e-01    3.9983e-04    1.9237e-05    2.1626e+02    2.4212e+02    
6.179e+03     200.0000      28.0062       19.3894       9.9958e-01    3.9983e-04    1.9237e-05    2.1687e+02    2.4222e+02    
5.766e+03     200.0000      28.0062       19.8099       9.9958e-01    3.9983e-04    1.9237e-05    2.1747e+02    2.4232e+02    
5.381e+03     200.0000      28.0062       20.2306       9.9958e-01    3.9983e-04    1.9237e-05    2.1806e+02    2.4241e+02    
5.021e+03     200.0000      28.0062       20.6512       9.9958e-01    3.9983e-04    1.9237e-05    2.1863e+02    2.4249e+02    
4.686e+03     200.0000      28.0062       21.0720       9.9958e-01    3.9983e-04    1.9237e-05    2.1919e+02    2.4258e+02    
4.373e+03     200.0000      28.0062       21.4928       9.9958e-01    3.9983e-04    1.9237e-05    2.1972e+02    2.4265e+02    
4.081e+03     200.0000      28.0062       21.9136       9.9958e-01    3.9983e-04    1.9237e-05    2.2024e+02    2.4273e+02    
3.808e+03     200.0000      28.0062       22.3345       9.9958e-01    3.9983e-04    1.9237e-05    2.2073e+02    2.4280e+02    
3.553e+03     200.0000      28.0062       22.7555       9.9958e-01    3.9983e-04    1.9237e-05    2.2120e+02    2.4286e+02    
3.316e+03     200.0000      28.0062       23.1765       9.9958e-01    3.9983e-04    1.9237e-05    2.2165e+02    2.4293e+02    
3.094e+03     200.0000      28.0062       23.5975       9.9958e-01    3.9983e-04    1.9237e-05    2.2207e+02    2.4299e+02    
2.888e+03     200.0000      28.0062       24.0187       9.9958e-01    3.9983e-04    1.9237e-05    2.2247e+02    2.4305e+02    
2.695e+03     200.0000      28.0062       24.4398       9.9958e-01    3.9983e-04    1.9237e-05    2.2285e+02    2.4310e+02    
2.515e+03     200.0000      28.0062       24.8611       9.9958e-01    3.9983e-04    1.9237e-05    2.2321e+02    2.4315e+02    
2.346e+03     200.0000      28.0062       25.2824       9.9958e-01    3.9983e-04    1.9237e-05    2.2356e+02    2.4320e+02    
2.190e+03     200.0000      28.0062       25.7037       9.9958e-01    3.9983e-04    1.9237e-05    2.2389e+02    2.4325e+02    
2.043e+03     200.0000      28.0062       26.1251       9.9958e-01    3.9983e-04    1.9237e-05    2.2420e+02    2.4330e+02    
1.907e+03     200.0000      28.0062       26.5466       9.9958e-01    3.9983e-04    1.9237e-05    2.2450e+02    2.4334e+02    
1.779e+03     200.0000      28.0062       26.9681       9.9958e-01    3.9983e-04    1.9237e-05    2.2479e+02    2.4338e+02    
1.660e+03     200.0000      28.0062       27.3896       9.9958e-01    3.9983e-04    1.9237e-05    2.2508e+02    2.4342e+02    
1.550e+03     200.0000      28.0062       27.8113       9.9958e-01    3.9983e-04    1.9237e-05    2.2535e+02    2.4346e+02    
1.446e+03     200.0000      28.0062       28.2329       9.9958e-01    3.9983e-04    1.9237e-05    2.2561e+02    2.4349e+02    
1.349e+03     200.0000      28.0062       28.6547       9.9958e-01    3.9983e-04    1.9237e-05    2.2586e+02    2.4352e+02    
1.259e+03     200.0000      28.0062       29.0764       9.9958e-01    3.9983e-04    1.9237e-05    2.2611e+02    2.4356e+02    
1.175e+03     200.0000      28.0062       29.4983       9.9958e-01    3.9983e-04    1.9237e-05    2.2634e+02    2.4359e+02    
1.096e+03     200.0000      28.0062       29.9202       9.9958e-01    3.9983e-04    1.9237e-05    2.2656e+02    2.4361e+02    
1.023e+03     200.0000      28.0062       30.3421       9.9958e-01    3.9983e-04    1.9237e-05    2.2678e+02    2.4364e+02    
9.548e+02     200.0000      28.0062       30.7642       9.9958e-01    3.9983e-04    1.9237e-05    2.2698e+02    2.4367e+02    
8.910e+02     200.0000      28.0062       31.1862       9.9958e-01    3.9983e-04    1.9237e-05    2.2717e+02    2.4369e+02    
8.315e+02     200.0000      28.0062       31.6083       9.9958e-01    3.9983e-04    1.9237e-05    2.2735e+02    2.4371e+02    
7.759e+02     200.0000      28.0062       32.0305       9.9958e-01    3.9983e-04    1.9237e-05    2.2752e+02    2.4374e+02    
7.241e+02     200.0000      28.0062       32.4528       9.9958e-01    3.9983e-04    1.9237e-05    2.2767e+02    2.4376e+02    
6.757e+02     200.0000      28.0062       32.8750       9.9958e-01    3.9983e-04    1.9237e-05    2.2782e+02    2.4378e+02    
6.305e+02     200.0000      28.0062       33.2974       9.9958e-01    3.9983e-04    1.9237e-05    2.2796e+02    2.4380e+02    
5.884e+02     200.0000      28.0062       33.7198       9.9958e-01    3.9983e-04    1.9237e-05    2.2808e+02    2.4382e+02    
5.491e+02     200.0000      28.0062       34.1422       9.9958e-01    3.9983e-04    1.9237e-05    2.2820e+02    2.4384e+02    
5.124e+02     200.0000      28.0062       34.5648       9.9958e-01    3.9983e-04    1.9237e-05    2.2831e+02    2.4385e+02    
4.781e+02     200.0000      28.0062       34.9873       9.9958e-01    3.9983e-04    1.9237e-05    2.2841e+02    2.4387e+02    
4.462e+02     200.0000      28.0062       35.4099       9.9958e-01    3.9983e-04    1.9237e-05    2.2851e+02    2.4388e+02    
4.164e+02     200.0000      28.0062       35.8326       9.9958e-01    3.9983e-04    1.9237e-05    2.2860e+02    2.4390e+02    
3.886e+02     200.0000      28.0062       36.2554       9.9958e-01    3.9983e-04    1.9237e-05    2.2868e+02    2.4391e+02    
3.626e+02     200.0000      28.0062       36.6781       9.9958e-01    3.9983e-04    1.9237e-05    2.2876e+02    2.4392e+02    
3.384e+02     200.0000      28.0062       37.1010       9.9958e-01    3.9983e-04    1.9237e-05    2.2883e+02    2.4394e+02    
3.157e+02     200.0000      28.0062       37.5239       9.9958e-01    3.9983e-04    1.9237e-05    2.2889e+02    2.4395e+02    
2.946e+02     200.0000      28.0062       37.9469       9.9958e-01    3.9983e-04    1.9237e-05    2.2896e+02    2.4396e+02    
2.750e+02     200.0000      28.0062       38.3699       9.9958e-01    3.9983e-04    1.9237e-05    2.2901e+02    2.4397e+02    
2.566e+02     200.0000      28.0062       38.7929       9.9958e-01    3.9983e-04    1.9237e-05    2.2907e+02    2.4398e+02    
2.394e+02     200.0000      28.0062       39.2161       9.9958e-01    3.9983e-04    1.9237e-05    2.2912e+02    2.4399e+02    
2.234e+02     200.0000      28.0062       39.6392       9.9958e-01    3.9983e-04    1.9237e-05    2.2916e+02    2.4400e+02    
2.085e+02     200.0000      28.0062       40.0625       9.9958e-01    3.9983e-04    1.9237e-05    2.2921e+02    2.4400e+02    
1.946e+02     200.0000      28.0062       40.4858       9.9958e-01    3.9983e-04    1.9237e-05    2.2925e+02    2.4401e+02    
1.816e+02     200.0000      28.0062       40.9091       9.9958e-01    3.9983e-04    1.9237e-05    2.2929e+02    2.4402e+02    
1.694e+02     200.0000      28.0062       41.3325       9.9958e-01    3.9983e-04    1.9237e-05    2.2932e+02    2.4402e+02    
1.581e+02     200.0000      28.0062       41.7560       9.9958e-01    3.9983e-04    1.9237e-05    2.2936e+02    2.4403e+02    
1.475e+02     200.0000      28.0062       42.1795       9.9958e-01    3.9983e-04    1.9237e-05    2.2939e+02    2.4403e+02    
1.377e+02     200.0000      28.0062       42.6031       9.9958e-01    3.9983e-04    1.9237e-05    2.2942e+02    2.4404e+02    
1.285e+02     200.0000      28.0062       43.0267       9.9958e-01    3.9983e-04    1.9237e-05    2.2945e+02    2.4404e+02    
1.199e+02     200.0000      28.0062       43.4504       9.9958e-01    3.9983e-04    1.9237e-05    2.2948e+02    2.4405e+02    
1.119e+02     200.0000      28.0062       43.8741       9.9958e-01    3.9983e-04    1.9237e-05    2.2950e+02    2.4405e+02    
1.044e+02     200.0000      28.0062       44.2979       9.9958e-01    3.9983e-04    1.9237e-05    2.2953e+02    2.4406e+02    
9.743e+01     200.0000      28.0062       44.7218       9.9958e-01    3.9983e-04    1.9237e-05    2.2955e+02    2.4406e+02    
9.092e+01     200.0000      28.0062       45.1457       9.9958e-01    3.9983e-04    1.9237e-05    2.2958e+02    2.4406e+02    
8.485e+01     200.0000      28.0062       45.5696       9.9958e-01    3.9983e-04    1.9237e-05    2.2960e+02    2.4407e+02    
7.918e+01     200.0000      28.0062       45.9937       9.9958e-01    3.9983e-04    1.9237e-05    2.2962e+02    2.4407e+02    
7.388e+01     200.0000      28.0062       46.4177       9.9958e-01    3.9983e-04    1.9237e-05    2.2964e+02    2.4407e+02    
6.895e+01     200.0000      28.0062       46.8419       9.9958e-01    3.9983e-04    1.9237e-05    2.2966e+02    2.4407e+02    
6.434e+01     200.0000      28.0062       47.2661       9.9958e-01    3.9983e-04    1.9237e-05    2.2967e+02    2.4408e+02    
6.004e+01     200.0000      28.0062       47.6903       9.9958e-01    3.9983e-04    1.9237e-05    2.2969e+02    2.4408e+02    
5.603e+01     200.0000      28.0062       48.1146       9.9958e-01    3.9983e-04    1.9237e-05    2.2971e+02    2.4408e+02    
5.228e+01     200.0000      28.0062       48.5390       9.9958e-01    3.9983e-04    1.9237e-05    2.2972e+02    2.4408e+02    
4.879e+01     200.0000      28.0062       48.9634       9.9958e-01    3.9983e-04    1.9237e-05    2.2974e+02    2.4408e+02    
4.553e+01     200.0000      28.0062       49.3878       9.9958e-01    3.9983e-04    1.9237e-05    2.2975e+02    2.4409e+02    
4.249e+01     200.0000      28.0062       49.8124       9.9958e-01    3.9983e-04    1.9237e-05    2.2977e+02    2.4409e+02    
3.965e+01     200.0000      28.0062       50.2370       9.9958e-01    3.9983e-04    1.9237e-05    2.2978e+02    2.4409e+02    
3.700e+01     200.0000      28.0062       50.6616       9.9958e-01    3.9983e-04    1.9237e-05    2.2979e+02    2.4409e+02    
3.453e+01     200.0000      28.0062       51.0863       9.9958e-01    3.9983e-04    1.9237e-05    2.2981e+02    2.4409e+02    
3.222e+01     200.0000      28.0062       51.5110       9.9958e-01    3.9983e-04    1.9237e-05    2.2982e+02    2.4409e+02    
3.007e+01     200.0000      28.0062       51.9358       9.9958e-01    3.9983e-04    1.9237e-05    2.2983e+02    2.4410e+02    
2.806e+01     200.0000      28.0062       52.3607       9.9958e-01    3.9983e-04    1.9237e-05    2.2984e+02    2.4410e+02    
2.618e+01     200.0000      28.0062       52.7856       9.9958e-01    3.9983e-04    1.9237e-05    2.2985e+02    2.4410e+02    
2.443e+01     200.0000      28.0062       53.2106       9.9958e-01    3.9983e-04    1.9237e-05    2.2986e+02    2.4410e+02    
2.280e+01     200.0000      28.0062       53.6356       9.9958e-01    3.9983e-04    1.9237e-05    2.2987e+02    2.4410e+02    
2.128e+01     200.0000      28.0062       54.0607       9.9958e-01    3.9983e-04    1.9237e-05    2.2988e+02    2.4410e+02    
1.985e+01     200.0000      28.0062       54.4859       9.9958e-01    3.9983e-04    1.9237e-05    2.2989e+02    2.4410e+02    
1.853e+01     200.0000      28.0062       54.9111       9.9958e-01    3.9983e-04    1.9237e-05    2.2990e+02    2.4410e+02    
1.729e+01     200.0000      28.0062       55.3363       9.9958e-01    3.9983e-04    1.9237e-05    2.2991e+02    2.4411e+02    
1.613e+01     200.0000      28.0062       55.7616       9.9958e-01    3.9983e-04    1.9237e-05    2.2992e+02    2.4411e+02    
1.506e+01     200.0000      28.0062       56.1870       9.9958e-01    3.9983e-04    1.9237e-05    2.2993e+02    2.4411e+02    
1.405e+01     200.0000      28.0062       56.6124       9.9958e-01    3.9983e-04    1.9237e-05    2.2994e+02    2.4411e+02    
1.311e+01     200.0000      28.0062       57.0379       9.9958e-01    3.9983e-04    1.9237e-05    2.2995e+02    2.4411e+02    
1.223e+01     200.0000      28.0062       57.4634       9.9958e-01    3.9983e-04    1.9237e-05    2.2995e+02    2.4411e+02    
1.142e+01     200.0000      28.0062       57.8890       9.9958e-01    3.9983e-04    1.9237e-05    2.2996e+02    2.4411e+02    
1.065e+01     200.0000      28.0062       58.3147       9.9958e-01    3.9983e-04    1.9237e-05    2.2997e+02    2.4411e+02    
9.942e+00     200.0000      28.0062       58.7404       9.9958e-01    3.9983e-04    1.9237e-05    2.2997e+02    2.4411e+02    
9.278e+00     200.0000      28.0062       59.1661       9.9958e-01    3.9983e-04    1.9237e-05    2.2998e+02    2.4411e+02    
8.658e+00     200.0000      28.0062       59.5920       9.9958e-01    3.9983e-04    1.9237e-05    2.2999e+02    2.4411e+02    
8.079e+00     200.0000      28.0062       60.0178       9.9958e-01    3.9983e-04    1.9237e-05    2.2999e+02    2.4412e+02    
7.539e+00     200.0000      28.0062       60.4438       9.9958e-01    3.9983e-04    1.9237e-05    2.3000e+02    2.4412e+02    
7.035e+00     200.0000      28.0062       60.8698       9.9958e-01    3.9983e-04    1.9237e-05    2.3000e+02    2.4412e+02    
6.565e+00     200.0000      28.0062       61.2958       9.9958e-01    3.9983e-04    1.9237e-05    2.3001e+02    2.4412e+02    
6.127e+00     200.0000      28.0062       61.7219       9.9958e-01    3.9983e-04    1.9237e-05    2.3001e+02    2.4412e+02    
5.717e+00     200.0000      28.0062       62.1481       9.9958e-01    3.9983e-04    1.9237e-05    2.3002e+02    2.4412e+02    
5.335e+00     200.0000      28.0062       62.5743       9.9958e-01    3.9983e-04    1.9237e-05    2.3002e+02    2.4412e+02    
4.979e+00     200.0000      28.0062       63.0006       9.9958e-01    3.9983e-04    1.9237e-05    2.3002e+02    2.4412e+02    
4.646e+00     200.0000      28.0062       63.4269       9.9958e-01    3.9983e-04    1.9237e-05    2.3003e+02    2.4412e+02    
4.335e+00     200.0000      28.0062       63.8533       9.9958e-01    3.9983e-04    1.9237e-05    2.3003e+02    2.4412e+02    
4.046e+00     200.0000      28.0062       64.2797       9.9958e-01    3.9983e-04    1.9237e-05    2.3003e+02    2.4412e+02    
3.775e+00     200.0000      28.0062       64.7062       9.9958e-01    3.9983e-04    1.9237e-05    2.3004e+02    2.4412e+02    
3.523e+00     200.0000      28.0062       65.1328       9.9958e-01    3.9983e-04    1.9237e-05    2.3004e+02    2.4412e+02    
3.288e+00     200.0000      28.0062       65.5594       9.9958e-01    3.9983e-04    1.9237e-05    2.3004e+02    2.4412e+02    
3.068e+00     200.0000      28.0062       65.9860       9.9958e-01    3.9983e-04    1.9237e-05    2.3005e+02    2.4412e+02    
2.863e+00     200.0000      28.0062       66.4128       9.9958e-01    3.9983e-04    1.9237e-05    2.3005e+02    2.4412e+02    
2.672e+00     200.0000      28.0062       66.8395       9.9958e-01    3.9983e-04    1.9237e-05    2.3005e+02    2.4412e+02    
2.493e+00     200.0000      28.0062       67.2664       9.9958e-01    3.9983e-04    1.9237e-05    2.3005e+02    2.4412e+02    
2.326e+00     200.0000      28.0062       67.6933       9.9958e-01    3.9983e-04    1.9237e-05    2.3005e+02    2.4412e+02    
2.171e+00     200.0000      28.0062       68.1202       9.9958e-01    3.9983e-04    1.9237e-05    2.3006e+02    2.4412e+02    
2.026e+00     200.0000      28.0062       68.5472       9.9958e-01    3.9983e-04    1.9237e-05    2.3006e+02    2.4412e+02    
1.891e+00     200.0000      28.0062       68.9743       9.9958e-01    3.9983e-04    1.9237e-05    2.3006e+02    2.4413e+02    
1.764e+00     200.0000      28.0062       69.4014       9.9958e-01    3.9983e-04    1.9237e-05    2.3006e+02    2.4413e+02    
1.646e+00     200.0000      28.0062       69.8286       9.9958e-01    3.9983e-04    1.9237e-05    2.3006e+02    2.4413e+02    
1.536e+00     200.0000      28.0062       70.2558       9.9958e-01    3.9983e-04    1.9237e-05    2.3006e+02    2.4413e+02    
1.434e+00     200.0000      28.0062       70.6831       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
1.338e+00     200.0000      28.0062       71.1104       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
1.248e+00     200.0000      28.0062       71.5378       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
1.165e+00     200.0000      28.0062       71.9653       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
1.087e+00     200.0000      28.0062       72.3928       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
1.014e+00     200.0000      28.0062       72.8204       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
9.467e-01     200.0000      28.0062       73.2480       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
8.834e-01     200.0000      28.0062       73.6757       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
8.244e-01     200.0000      28.0062       74.1035       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
7.693e-01     200.0000      28.0062       74.5313       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
7.179e-01     200.0000      28.0062       74.9591       9.9958e-01    3.9983e-04    1.9237e-05    2.3007e+02    2.4413e+02    
6.699e-01     200.0000      28.0062       75.3870       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
6.252e-01     200.0000      28.0062       75.8150       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
5.834e-01     200.0000      28.0062       76.2430       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
5.444e-01     200.0000      28.0062       76.6711       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
5.080e-01     200.0000      28.0062       77.0992       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
4.741e-01     200.0000      28.0062       77.5274       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
4.424e-01     200.0000      28.0062       77.9557       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
4.128e-01     200.0000      28.0062       78.3840       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
3.852e-01     200.0000      28.0062       78.8124       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
3.595e-01     200.0000      28.0062       79.2408       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
3.355e-01     200.0000      28.0062       79.6693       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
3.131e-01     200.0000      28.0062       80.0978       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
2.921e-01     200.0000      28.0062       80.5264       9.9958e-01    3.9983e-04    1.9237e-05    2.3008e+02    2.4413e+02    
