# Model name = photochem.clima
# Diameter: 14401                # Diameter of the planet [km]
# Gravity: 10.15                 # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 0.047               # Planet-star distance [au]
# Star-type: TRAPPIST-1                 # Host-star type
# Star-temperature: 2566         # Host-star temperature [K]
# Wavelength-min: N/A            # Minimum wavelength [um]
# Wavelength-max: N/A            # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 276       # Surface temperature [K]
# Surface-albedo: 0.20           # Surface albedo
# Surface-emissivity: 1.00        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2
# CIA opacities = H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 79.81
# Absorbed stellar radiation (W/m^2) = 79.90
# Atmosphere-description: TRAPPIST1g CO2=10bar
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-fit-T: N/A
# Atmosphere-fit-H2: N/A
# Atmosphere-fit-He: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-fit-CH4: N/A
# Atmosphere-layers: 50
# P (Pa)        T (K)         MMW (g/mol)   Alt (km)      N2            CO2           H2O           OTR           ASR       
1.101e+06     276.2663      42.5354       0.0000        9.0845e-02    9.0845e-01    7.0392e-04    2.0329e+00    1.5852e+01    
9.578e+05     267.7409      42.5354       0.7284        9.0872e-02    9.0872e-01    4.1060e-04    6.4358e+00    2.3959e+01    
7.252e+05     250.8754      42.5426       2.1172        9.0899e-02    9.0899e-01    1.1472e-04    1.1710e+01    3.0750e+01    
5.491e+05     234.4679      42.5448       3.4174        9.0907e-02    9.0907e-01    2.7093e-05    2.1717e+01    3.6143e+01    
4.157e+05     218.7378      42.5453       4.6318        9.0909e-02    9.0909e-01    5.4147e-06    2.8640e+01    3.9954e+01    
3.147e+05     208.1581      42.5371       5.7762        9.1430e-02    9.0857e-01    1.7151e-06    3.1782e+01    4.2966e+01    
2.383e+05     204.2598      42.5167       6.8824        9.2704e-02    9.0729e-01    1.2903e-06    3.6801e+01    4.5770e+01    
1.804e+05     200.5144      42.4963       7.9691        9.3981e-02    9.0602e-01    9.7246e-07    4.2043e+01    4.8485e+01    
1.366e+05     196.9125      42.4758       9.0368        9.5259e-02    9.0474e-01    7.3413e-07    4.6883e+01    5.1156e+01    
1.034e+05     193.4457      42.4554       10.0864       9.6539e-02    9.0346e-01    5.5510e-07    5.1289e+01    5.3791e+01    
7.830e+04     190.1064      42.4349       11.1185       9.7821e-02    9.0218e-01    4.2038e-07    5.5127e+01    5.6276e+01    
5.928e+04     186.8873      42.4143       12.1337       9.9103e-02    9.0090e-01    3.1883e-07    5.8258e+01    5.8582e+01    
4.489e+04     183.7818      42.3938       13.1326       1.0039e-01    8.9961e-01    2.4215e-07    6.0688e+01    6.0688e+01    
3.398e+04     181.1965      42.3938       14.1167       1.0039e-01    8.9961e-01    1.9892e-07    6.2595e+01    6.2595e+01    
2.573e+04     179.9984      42.3938       15.0909       1.0039e-01    8.9961e-01    1.9892e-07    6.4296e+01    6.4296e+01    
1.948e+04     179.7103      42.3938       16.0613       1.0039e-01    8.9961e-01    1.9892e-07    6.5862e+01    6.5862e+01    
1.475e+04     180.8068      42.3938       17.0342       1.0039e-01    8.9961e-01    1.9892e-07    6.7373e+01    6.7373e+01    
1.117e+04     183.3430      42.3938       18.0171       1.0039e-01    8.9961e-01    1.9892e-07    6.8852e+01    6.8853e+01    
8.455e+03     186.0145      42.3938       19.0144       1.0039e-01    8.9961e-01    1.9892e-07    7.0232e+01    7.0232e+01    
6.401e+03     187.0563      42.3938       20.0220       1.0039e-01    8.9961e-01    1.9892e-07    7.1442e+01    7.1442e+01    
4.847e+03     185.8533      42.3938       21.0294       1.0039e-01    8.9961e-01    1.9892e-07    7.2484e+01    7.2484e+01    
3.669e+03     183.6775      42.3938       22.0279       1.0039e-01    8.9961e-01    1.9892e-07    7.3400e+01    7.3400e+01    
2.778e+03     181.8076      42.3938       23.0158       1.0039e-01    8.9961e-01    1.9892e-07    7.4224e+01    7.4224e+01    
2.103e+03     179.7273      42.3938       23.9933       1.0039e-01    8.9961e-01    1.9892e-07    7.4956e+01    7.4956e+01    
1.593e+03     176.7959      42.3938       24.9575       1.0039e-01    8.9961e-01    1.9892e-07    7.5576e+01    7.5576e+01    
1.206e+03     173.8282      42.3938       25.9060       1.0039e-01    8.9961e-01    1.9892e-07    7.6080e+01    7.6080e+01    
9.129e+02     171.8469      42.3938       26.8414       1.0039e-01    8.9961e-01    1.9892e-07    7.6499e+01    7.6499e+01    
6.912e+02     170.4894      42.3938       27.7679       1.0039e-01    8.9961e-01    1.9892e-07    7.6885e+01    7.6885e+01    
5.233e+02     168.7095      42.3938       28.6863       1.0039e-01    8.9961e-01    1.9892e-07    7.7255e+01    7.7255e+01    
3.962e+02     166.4849      42.3938       29.5939       1.0039e-01    8.9961e-01    1.9892e-07    7.7590e+01    7.7590e+01    
3.000e+02     164.4181      42.3938       30.4902       1.0039e-01    8.9961e-01    1.9892e-07    7.7872e+01    7.7872e+01    
2.271e+02     162.5817      42.3938       31.3762       1.0039e-01    8.9961e-01    1.9892e-07    7.8105e+01    7.8105e+01    
1.720e+02     160.5908      42.3938       32.2520       1.0039e-01    8.9961e-01    1.9892e-07    7.8306e+01    7.8306e+01    
1.302e+02     158.6540      42.3938       33.1173       1.0039e-01    8.9961e-01    1.9892e-07    7.8487e+01    7.8487e+01    
9.857e+01     157.5802      42.3938       33.9747       1.0039e-01    8.9961e-01    1.9892e-07    7.8658e+01    7.8658e+01    
7.463e+01     157.6309      42.3938       34.8295       1.0039e-01    8.9961e-01    1.9892e-07    7.8818e+01    7.8818e+01    
5.651e+01     157.8306      42.3938       35.6852       1.0039e-01    8.9961e-01    1.9892e-07    7.8960e+01    7.8960e+01    
4.278e+01     157.3246      42.3938       36.5403       1.0039e-01    8.9961e-01    1.9892e-07    7.9078e+01    7.9078e+01    
3.239e+01     156.4351      42.3938       37.3918       1.0039e-01    8.9961e-01    1.9892e-07    7.9175e+01    7.9175e+01    
2.452e+01     156.1211      42.3938       38.2402       1.0039e-01    8.9961e-01    1.9892e-07    7.9261e+01    7.9261e+01    
1.857e+01     156.9183      42.3938       39.0901       1.0039e-01    8.9961e-01    1.9892e-07    7.9339e+01    7.9339e+01    
1.406e+01     158.6125      42.3938       39.9470       1.0039e-01    8.9961e-01    1.9892e-07    7.9409e+01    7.9409e+01    
1.064e+01     160.5555      42.3938       40.8140       1.0039e-01    8.9961e-01    1.9892e-07    7.9469e+01    7.9469e+01    
8.059e+00     162.3163      42.3938       41.6912       1.0039e-01    8.9961e-01    1.9892e-07    7.9520e+01    7.9520e+01    
6.101e+00     163.8941      42.3938       42.5778       1.0039e-01    8.9961e-01    1.9892e-07    7.9562e+01    7.9562e+01    
4.619e+00     165.4075      42.3938       43.4729       1.0039e-01    8.9961e-01    1.9892e-07    7.9598e+01    7.9598e+01    
3.497e+00     166.6039      42.3938       44.3757       1.0039e-01    8.9961e-01    1.9892e-07    7.9630e+01    7.9630e+01    
2.648e+00     166.9864      42.3938       45.2830       1.0039e-01    8.9961e-01    1.9892e-07    7.9658e+01    7.9659e+01    
2.005e+00     166.4364      42.3938       46.1900       1.0039e-01    8.9961e-01    1.9892e-07    7.9685e+01    7.9685e+01    
1.518e+00     165.3949      42.3938       47.0929       1.0039e-01    8.9961e-01    1.9892e-07    7.9710e+01    7.9710e+01    
1.149e+00     164.7657      42.3938       47.9916       1.0039e-01    8.9961e-01    1.9892e-07    7.9737e+01    7.9738e+01    
